tier,seq_id,n_stems,scheme,encoded_vars,degree,fits_free_tier,R,seed,collapse_rate,max_stem_share,wall_time,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
A,A_rand02,1,global_slack,2,2,True,0.5,0,0.4166666666666667,0.4167,0.3238662999938242,0.0,0.3,0.0,0.3,True,False,0
A,A_rand02,1,global_slack,2,2,True,0.5,1,0.25,0.25,0.3334346999763511,0.0,0.3,0.0,0.3,True,False,0
A,A_rand02,1,global_slack,2,2,True,0.5,2,0.25,0.25,0.32526700000744313,0.0,0.3,0.0,0.3,True,False,0
A,A_rand03,3,per_stem,6,2,True,3.0,0,0.75,0.7926,0.4338712000171654,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,per_stem,6,2,True,3.0,1,0.5,0.585,0.3230102999950759,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,per_stem,6,2,True,3.0,2,0.4166666666666667,0.5864,0.31858600000850856,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,global_slack,4,2,True,1.5,0,1.0,1.0,0.32587749999947846,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,global_slack,4,2,True,1.5,1,1.0,1.0,0.3299155000131577,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand03,3,global_slack,4,2,True,1.5,2,0.9166666666666666,0.9167,0.32966699998360127,-2.5999999999999996,0.0,-2.6,0.0,True,False,0
A,A_rand04,3,per_stem,6,2,True,3.0,0,0.75,0.7926,0.3406692999997176,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,per_stem,6,2,True,3.0,1,0.6666666666666666,0.751,0.321083799994085,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,per_stem,6,2,True,3.0,2,0.3333333333333333,0.5437,0.32408539997413754,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,global_slack,4,2,True,1.5,0,1.0,1.0,0.3278652000008151,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,global_slack,4,2,True,1.5,1,1.0,1.0,0.3288878999883309,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand04,3,global_slack,4,2,True,1.5,2,0.9166666666666666,0.9167,0.3219074999797158,-3.599999999999999,0.0,-3.6,1.0,True,False,0
A,A_rand05,12,per_stem,24,2,True,12.0,0,0.0,0.4007,0.49324839998735115,2.9,3.3,-0.4,0.0,False,True,1
A,A_rand05,12,per_stem,24,2,True,12.0,1,0.3333333333333333,0.5536,0.3969224999891594,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,per_stem,24,2,True,12.0,2,0.25,0.5547,0.3446529000066221,2.299999999999999,2.7,0.5,0.9,False,True,1
A,A_rand05,12,global_slack,13,2,True,6.0,0,1.0,1.0,0.34537260001525283,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,global_slack,13,2,True,6.0,1,1.0,1.0,0.3367107000085525,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand05,12,global_slack,13,2,True,6.0,2,1.0,1.0,0.34283290000166744,-0.40000000000000036,0.0,-0.4,0.0,True,False,0
A,A_rand06,7,per_stem,14,2,True,7.0,0,0.5833333333333334,0.7107,0.3330000000423752,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,per_stem,14,2,True,7.0,1,0.5,0.7095,0.32375459995819256,-3.8999999999999995,0.9,-3.9,0.9,True,False,0
A,A_rand06,7,per_stem,14,2,True,7.0,2,0.5833333333333334,0.7109,0.32930849998956546,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,global_slack,8,2,True,3.5,0,1.0,1.0,0.3311394000193104,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,global_slack,8,2,True,3.5,1,1.0,1.0,0.32511009997688234,-4.8,0.0,-4.8,0.0,True,False,0
A,A_rand06,7,global_slack,8,2,True,3.5,2,1.0,1.0,0.32318669999949634,-3.8999999999999995,0.9,-3.9,0.9,True,False,0
A,A_rand07,9,per_stem,18,2,True,9.0,0,0.25,0.5457,0.32613959995796904,-2.6999999999999997,2.4,-2.7,2.4,True,False,0
