seq_id,tier,length,n_stems,level,solver,e_vienna_mfe,e_model_optimum,e_solver,encoding_gap,optimizer_gap,total_gap,sensitivity,ppv,f1,bp_distance,exact_match,matches_subopt,feasible_raw,was_repaired,n_removed,reference_representable,model_energy_error,level_exact_for_reference,structure,wall_time,model_level,model_n_vars,model_degree,model_n_obj_linear,model_n_obj_quadratic,model_n_obj_cubic,model_n_penalty_terms,model_lambda_conflict,model_lambda_cross,model_pseudoknot_mode,model_n_stems,model_n_conflict,model_n_crossing,model_n_nesting,res_n_vars,res_states_enumerated,res_function_evaluations,res_n_auxiliary_vars,res_branches,res_conflicts
A_rand03,A,16,3,0,brute_force,-2.6,-2.6,-2.6,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,4.7,True,.((((.....))))..,8.420000085607171e-05,0,3,2,3,0,0,3,10.95,10.95,False,3,3,0,0,3,8.0,8.0,,,
A_rand03,A,16,3,1,brute_force,-2.6,-2.6,-2.6,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,.((((.....))))..,0.00012279994552955031,1,3,2,2,0,0,3,3.9,3.9,False,3,3,0,0,3,8.0,8.0,,,
A_rand04,A,17,3,0,brute_force,-4.6,-3.6,-3.6,1.0,0.0,1.0,0.0,0.0,0.0,8,False,False,True,False,0,False,,True,..(((........))).,7.319997530430555e-05,0,3,2,3,0,0,3,10.05,10.05,False,3,3,0,0,3,8.0,8.0,,,
A_rand04,A,17,3,1,brute_force,-4.6,-3.6,-3.6,1.0,0.0,1.0,0.0,0.0,0.0,8,False,False,True,False,0,False,,True,..(((........))).,0.00010470004053786397,1,3,2,3,0,0,3,5.4,5.4,False,3,3,0,0,3,8.0,8.0,,,
A_rand05,A,18,12,0,brute_force,-0.4,-0.4,-0.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.7,True,..(((((.....))))).,0.0008086999878287315,0,12,2,12,0,0,66,9.15,9.15,False,12,65,1,0,12,4096.0,4096.0,,,
A_rand05,A,18,12,1,brute_force,-0.4,-0.4,-0.4,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,..(((((.....))))).,0.0007551999879069626,1,12,2,12,0,0,66,1.0,1.0,False,12,65,1,0,12,4096.0,4096.0,,,
A_rand06,A,19,7,0,brute_force,-4.8,-4.8,-4.8,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,5.2,True,.(((((......)))))..,0.00016559998039156199,0,7,2,7,0,0,21,15.0,15.0,False,7,21,0,0,7,128.0,128.0,,,
A_rand06,A,19,7,1,brute_force,-4.8,-4.8,-4.8,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,.(((((......)))))..,0.00013599998783320189,1,7,2,7,0,0,21,7.2,7.2,False,7,21,0,0,7,128.0,128.0,,,
A_rand07,A,20,9,0,brute_force,-5.1,-5.1,-5.1,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,4.9,True,.....((((.......)))),0.00023599999258294702,0,9,2,9,0,0,36,15.0,15.0,False,9,31,5,0,9,512.0,512.0,,,
A_rand07,A,20,9,1,brute_force,-5.1,-5.1,-5.1,0.0,0.0,0.0,1.0,1.0,1.0,0,True,True,True,False,0,True,0.0,True,.....((((.......)))),0.00020979996770620346,1,9,2,9,0,0,36,7.65,7.65,False,9,31,5,0,9,512.0,512.0,,,
