tier,seq_id,n_stems,R_fraction,R,n_selected,collapse_rate,model_energy,optimizer_gap_model,e_vienna,total_gap,feasible_raw,was_repaired,n_removed
M,M_ml06,30,0.2,6.0,1,1.0,-5.670000000000001,13.63,-5.67,13.63,True,False,0
M,M_ml06,30,0.3,9.0,1,1.0,-5.670000000000001,13.63,-5.67,13.63,True,False,0
M,M_ml06,30,0.5,15.0,1,1.0,-5.670000000000001,13.63,-5.67,13.63,True,False,0
M,M_ml06,30,0.75,22.5,1,1.0,-5.670000000000001,13.63,-5.67,13.63,True,False,0
M,M_ml06,30,1.0,30.0,1,1.0,-5.670000000000001,13.63,-5.67,13.63,True,False,0
M,M_ml08,22,0.1,2.2,1,1.0,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml08,22,0.2,4.4,1,1.0,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml08,22,0.3,6.6,1,1.0,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml08,22,0.5,11.0,1,1.0,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml08,22,0.75,16.5,1,1.0,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml08,22,1.0,22.0,1,1.0,-3.3,7.6,-3.3,11.0,True,False,0
M,M_ml09,32,0.1,3.2,1,1.0,-4.6,11.8,-4.6,12.8,True,False,0
M,M_ml09,32,0.2,6.4,1,1.0,-4.6,11.8,-4.6,12.8,True,False,0
M,M_ml09,32,0.3,9.6,1,1.0,-4.6,11.8,-4.6,12.8,True,False,0
M,M_ml09,32,0.5,16.0,1,1.0,-2.7999999999999994,13.6,-2.8,14.6,True,False,0
M,M_ml09,32,0.75,24.0,1,1.0,-3.3000000000000007,13.1,-3.3,14.1,True,False,0
M,M_ml09,32,1.0,32.0,1,1.0,-3.3000000000000007,13.1,-3.3,14.1,True,False,0
